Time [h];Ambient Temperature Memprechtshofen 2022 [°C];Daily water temperature of Rhine River at Iffezheim 2022 [°C];FWN-NEU: Vorlauftemperatur [°C];FWN-NEU: Rücklauftemperatur [°C];Heat Demand in [MWh]
1;11.5;7.8;87.22955787;56.41358947;27.39026406
2;11.4;7.8;87.59695292;56.6194393;26.33867226
3;11.6;7.8;88.29818938;56.76688425;25.80072222
4;11.5;7.8;89.01327618;56.86272924;25.10190654
5;11.4;7.8;89.72836298;56.95857423;25.45278852
6;11.3;7.8;90.39608443;57.05441922;27.00295731
7;11.1;7.8;90.55730456;57.15026421;23.59500628
8;11.1;7.8;90.5815627;57.22448482;23.90615334
9;10.9;7.8;90.24505528;57.00139833;24.67134062
10;11.1;7.8;88.86623752;56.68362667;24.27394354
11;11.3;7.8;87.71622058;56.36949386;25.58647618
12;11.2;7.8;87.13717222;56.33550332;23.79171906
13;11.4;7.8;86.57268115;56.47695051;26.28550528
14;11.7;7.8;86.35380529;56.6183977;27.7327791
15;11.4;7.8;87.06779562;56.75984489;24.64024585
16;11.1;7.8;86.34774148;56.90129208;24.98299369
17;10.7;7.8;86.32659742;57.00879591;26.2160535
18;10.5;7.8;87.10216086;56.65116864;25.30938902
19;10.3;7.8;87.71163769;56.14570593;23.41533843
20;9.4;7.8;87.46271228;55.89531554;23.14505444
21;8.3;7.8;87.08913466;56.08816274;22.88450327
22;7.9;7.8;86.71555703;56.28896722;22.79203954
23;7.6;7.8;86.35021929;56.4897717;22.349162
24;6.9;7.8;86.75287991;56.69057618;21.70558591
25;7;7.7;87.65793734;56.89138067;19.36637335
26;6.5;7.7;88.56299478;57.09218515;17.82602704
27;6.8;7.7;89.46805221;57.29298963;17.71133741
28;7.3;7.7;90.33216923;57.3583404;21.20580114
29;7.4;7.7;90.72410067;57.20478592;19.51757317
30;8.4;7.7;90.90315897;57.04824403;22.24637173
31;8.9;7.7;90.11810993;56.89170215;23.19635024
32;9.3;7.7;89.04672166;56.73516027;21.32386077
33;9.2;7.7;87.96010454;56.57861838;24.27184946
34;9.8;7.7;87.82370344;56.40690704;22.38864634
35;10.4;7.7;88.2421209;56.17908627;25.58019939
